id,title,type,genres,production_countries,imdb_id,imdb_score
ts217719,Basketball or Nothing,SHOW,"['documentation', 'sport']",['US'],tt10698408,6.3
ts226602,How to Fix a Drug Scandal,SHOW,"['documentation', 'crime']",['US'],tt11958942,6.2
ts255104,Deaf U,SHOW,"['reality', 'documentation', 'drama']",['US'],tt13070478,6.2
ts101060,Merry Happy Whatever,SHOW,['comedy'],['US'],tt9770286,6.2
ts222367,We Are the Wave,SHOW,['drama'],['DE'],tt11053220,6.2
ts86365,Rilakkuma and Kaoru,SHOW,"['animation', 'comedy', 'drama', 'family']",['JP'],tt9348716,6.2
tm453850,Time to Hunt,MOVIE,"['thriller', 'drama', 'action', 'scifi', 'crime']",['KR'],tt11777040,6.2
ts91124,Love Alarm,SHOW,"['scifi', 'drama', 'romance', 'comedy']",['KR'],tt9145880,6.2
ts222634,Nobody's Looking,SHOW,"['comedy', 'drama', 'fantasy']",['BR'],tt11131980,6.2
ts223589,"Sex, Explained",SHOW,['documentation'],['US'],tt11390530,6.2
tm472195,Almost Love,MOVIE,"['comedy', 'drama', 'romance']",['US'],tt8739582,6.2
ts317497,The Neighbor,SHOW,"['comedy', 'action']",['ES'],tt9731222,6.2
ts256783,We Are the Champions,SHOW,['documentation'],['US'],tt12409154,6.2
tm455059,We Die Young,MOVIE,"['thriller', 'drama', 'action', 'crime', 'european']","['BG', 'US']",tt7903530,6.2
tm893680,Jo Koy: In His Elements,MOVIE,['comedy'],['US'],tt12357266,6.2
tm888080,The Last Days of American Crime,MOVIE,"['action', 'crime', 'thriller', 'scifi', 'drama']",['US'],tt1552211,6.2
tm854669,Taylor Tomlinson: Quarter-Life Crisis,MOVIE,['comedy'],['US'],tt11738792,6.2
ts222933,Who Killed Little Gregory?,SHOW,"['documentation', 'crime', 'thriller', 'drama']",['FR'],tt11269714,6.2
ts223982,Until Dawn,SHOW,"['reality', 'comedy']",['FR'],tt11434862,6.2
ts89876,Lunatics,SHOW,['comedy'],['US'],tt8164794,6.2
ts218277,Apache: The Life of Carlos Tevez,SHOW,"['crime', 'drama', 'sport', 'thriller']",['AR'],tt10715172,6.2
ts315066,Vampires,SHOW,"['scifi', 'fantasy', 'horror', 'drama']",['FR'],tt11829316,6.2
ts223659,Jamtara – Sabka Number Ayega,SHOW,"['drama', 'crime']",['IN'],tt11150912,6.2
ts219422,When the Camellia Blooms,SHOW,"['drama', 'romance', 'thriller', 'comedy']",['KR'],tt10826064,6.2
tm458127,Human Nature,MOVIE,"['documentation', 'thriller']",['US'],tt9612680,6.2
ts225102,Record of Youth,SHOW,"['drama', 'romance']",['KR'],tt12850322,6.2
ts88336,Dating Around,SHOW,"['reality', 'romance']",['US'],tt9654080,6.2
ts102933,Les de l'hoquei,SHOW,"['drama', 'sport']",['ES'],tt9486226,6.2
tm454375,Benchwarmers 2: Breaking Balls,MOVIE,"['comedy', 'sport']",['US'],tt8750122,6.2
tm838687,Holiday in the Wild,MOVIE,"['romance', 'comedy', 'drama']",['US'],tt8510488,6.2
ts224072,Self Made: Inspired by the Life of Madam C.J. Walker,SHOW,"['drama', 'history']",['US'],tt8771910,6.2
ts254568,The Last Word,SHOW,"['drama', 'comedy']",['DE'],tt10506510,6.2
tm848995,Jingle Jangle: A Christmas Journey,MOVIE,"['fantasy', 'music', 'family']",['US'],tt7736496,6.2
ts105192,The Unlisted,SHOW,"['scifi', 'thriller', 'family']",['AU'],tt9184592,6.2
tm470560,Circus of Books,MOVIE,"['documentation', 'history']",['US'],tt8727582,6.2
ts219895,Tiny Pretty Things,SHOW,"['thriller', 'drama']",['US'],tt10767748,6.2
tm883189,Dangerous Lies,MOVIE,"['thriller', 'horror', 'drama', 'comedy', 'crime']",['US'],tt10061766,6.2
